"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","Super Street","Drivers: 3","Trophies: 1","Run Heat: 2","","T","1.00","78","","Sean Greer","2015 Porsche GT3","","55.856","69.052(2)","63.688(5)","54.842","","54.055","104.196","","","","","","51.494","50.725","50.141","51.780(1)","50.551","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","2.00","85","","Mark Alft","2016 Chevrolet Corvette Z06","","64.572","61.950","61.120","63.737(1)","","61.780","117.918","","","","","(13.722)","58.389","58.776","56.798","61.295","59.730(1)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","3.00","814","","William Ekiss","2015 Chevrolet corvette","","DNS","DNS","DNS","DNS","","DNS","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","Super Street Ladies","Drivers: 1","Trophies: 1","Run Heat: 1","","T","1.00","85","","Jean Alft","2016 Chevrolet Corvette Z06","","75.975","DNF","DNF","DNF","","67.261","127.548","","","","","","DNF","65.881","DNF","60.771","60.287","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","A Street","Drivers: 7","Trophies: 3","Run Heat: 2","","T","1.00","94","","Robert Stack","2004 Chevrolet Corvette Z06","","60.395(1)","60.564","58.293","58.553","","57.586","110.463","","","","","","54.414","53.590","54.954(1)","57.180(2)","52.877","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","T","2.00","52","","Robert Fullriede","2010 Porsche Cayman","","61.280","61.358","60.594","60.699","","60.032","116.075","","","","","(5.612)","56.186","56.709","56.043","61.460(3)","DNF","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","T","3.00","192","","Carla Russo","2002 Chevrolet Corvette Z06","","62.949","59.513","61.779(1)","63.632(1)","","60.458","116.352","[92]","","","","(0.277)","57.824(1)","59.599(2)","58.709(2)","56.839(1)","57.160","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","4.00","77","","Jeffrey Osborn","2011 Chevrolet Corvette Grand Sport","","72.274(1)","63.294","63.911","DNF","","DNF","119.668","","","","","(3.316)","58.810","56.374","61.789(1)","61.161(1)","56.523","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","5.00","92","","Don Lambert","2002 Chevrolet Z06","","68.471(1)","DNF","66.044","DNF","","63.648","122.699","[192]","","","","(3.031)","63.911(1)","62.516(1)","70.073","62.322(2)","59.051","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","6.00","71","","Adrian Sweetwood","2003 Chevrolet Corvette Z06","","DNF","65.180","71.027(3)","68.717","","66.946","125.764","","","","","(3.065)","DNF","72.888","62.048","66.702","60.584","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","7.00","91","","Bogdan Niciu","2020 BMW M2 Competition/","","DNF","65.254","65.415","67.946","","66.040","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","B Street","Drivers: 2","Trophies: 1","Run Heat: 3","M","T","1.00","77","","Steve Davis","2021 Chevrolet Camaro SS 1LE","","65.385","62.321","61.387","63.504","","63.022","118.169","","","","","","59.064","58.316","58.330","59.049(1)","56.782","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","2.00","23","","Gus Jacob","2014 Porsche Cayman","","64.218(1)","62.097","61.745","61.566","","62.366","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
